index,precision,epoch,stage
0,0.5850948095,0,train
1,0.6109750271000001,1,train
2,0.6310625076,2,train
3,0.6525624990000001,3,train
4,0.6756374836,4,train
5,0.6944749951,5,train
6,0.709224999,6,train
7,0.7197375298,7,train
8,0.7283750176,8,train
9,0.7354249954000001,9,train
10,0.7423375249,10,train
11,0.7451000214,11,train
12,0.7491250038,12,train
13,0.7538874745,13,train
14,0.7555000186,14,train
15,0.7588499784,15,train
16,0.7595250010000001,16,train
17,0.7632250190000001,17,train
18,0.7649999857,18,train
19,0.7681000233,19,train
20,0.7682750225,20,train
21,0.7694500089,21,train
22,0.7712875009,22,train
23,0.7721874714,23,train
24,0.7730500102000001,24,train
0,0.6058499813,0,test
1,0.6112499833,1,test
2,0.6110000014,2,test
3,0.5997999907,3,test
4,0.5884000063,4,test
5,0.5982999802,5,test
6,0.5980499983,6,test
7,0.5938500166,7,test
8,0.5771499872,8,test
9,0.5913000107,9,test
10,0.5922499895000001,10,test
11,0.5931500196,11,test
12,0.5881500244,12,test
13,0.5874500275,13,test
14,0.5875999928,14,test
15,0.5911499858,15,test
16,0.5917500257,16,test
17,0.5867000222000001,17,test
18,0.5868499875000001,18,test
19,0.5698000193,19,test
20,0.5855500102,20,test
21,0.5850999951,21,test
22,0.5846999884,22,test
23,0.5853000283,23,test
24,0.5836499929,24,test
