index,binary_accuracy,epoch,stage
0,0.5160250068,0,train
1,0.5300750136,1,train
2,0.5399624705,2,train
3,0.5514624715,3,train
4,0.5611374974000001,4,train
5,0.5669624805,5,train
6,0.5711249709,6,train
7,0.5733249784000001,7,train
8,0.5797250271000001,8,train
9,0.5787500143000001,9,train
10,0.5801500082000001,10,train
11,0.580550015,11,train
12,0.582262516,12,train
13,0.5854499936,13,train
14,0.5842875242000001,14,train
15,0.5873500109,15,train
16,0.5848125219,16,train
17,0.5876500010000001,17,train
18,0.5870875120000001,18,train
19,0.5887249708,19,train
20,0.5861250162,20,train
21,0.5855625272,21,train
22,0.5884249806,22,train
23,0.5855249763,23,train
24,0.5890750289000001,24,train
0,0.5264499784000001,0,val
1,0.5275999904,1,val
2,0.5144500136,2,val
3,0.5266000032,3,val
4,0.511950016,4,val
5,0.5086500049,5,val
6,0.5224499702000001,6,val
7,0.5100499988,7,val
8,0.5122500062,8,val
9,0.5103499889,9,val
10,0.5091999769000001,10,val
11,0.5210999846000001,11,val
12,0.5100499988,12,val
13,0.5232999921,13,val
14,0.5214499831,14,val
15,0.5098000169,15,val
16,0.5196499825,16,val
17,0.5216000080000001,17,val
18,0.5058500171,18,val
19,0.5207499862,19,val
20,0.5207999945,20,val
21,0.5208500028,21,val
22,0.5093500018,22,val
23,0.5098500252,23,val
24,0.5112500191,24,val
